,Actor Name,Profit,Movies
833,Demi Moore,"$1,814,087,522","Ghost,The Hunchback of Notre Dame,Indecent Proposal,Charlie's Angels: Full Throttle,A Few Good Men,Disclosure"
834,David Oyelowo,"$1,810,312,726","Interstellar,Rise of the Planet of the Apes,Jack Reacher,The Help,The Butler"
835,Amber Heard,"$1,806,455,380","Aquaman,Justice League"
836,Justin Timberlake,"$1,805,177,507","Shrek the Third,Trolls,The Social Network,Bad Teacher,Yogi Bear"
837,Morena Baccarin,"$1,804,399,619","Deadpool 2,Deadpool,Spy"
838,David Dastmalchian,"$1,803,186,068","Ant-Man and the Wasp,Ant-Man,Dune,Blade Runner 2049"
839,Ilia Volok,"$1,800,523,731","Indiana Jones and the Kingdom of the Crystal Skull,Mission: Impossible - Ghost Protocol,Air Force One"
840,David S. Lee,"$1,799,883,586","Black Panther,Get Smart,Geostorm"
841,Tim Pigott-Smith,"$1,798,936,421","Alice in Wonderland,Quantum of Solace,Jupiter Ascending"
842,Josh Stewart,"$1,797,371,448","The Dark Knight Rises,Interstellar"
843,Patricia Clarkson,"$1,793,220,263","The Maze Runner,Maze Runner: The Scorch Trials,Shutter Island,Maze Runner: The Death Cure,The Green Mile,Jumanji"
844,Kodi Smit-McPhee,"$1,792,959,005","Dawn of the Planet of the Apes,X-Men: Apocalypse,Elvis,X-Men: Dark Phoenix"
845,Reese Witherspoon,"$1,792,001,371","Sing,Sing 2,Monsters vs. Aliens,Walk the Line,Sweet Home Alabama"
846,Alec Guinness,"$1,788,879,251","Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi"
847,David Prowse,"$1,788,879,251","Star Wars: Episode IV - A New Hope,Star Wars: Episode V - The Empire Strikes Back,Star Wars: Episode VI - Return of the Jedi"
848,Lisa Loven Kongsli,"$1,786,990,562","Wonder Woman,Justice League,Wonder"
849,Burn Gorman,"$1,783,086,151","The Dark Knight Rises,Pacific Rim,Pacific Rim: Uprising"
850,Vince Vaughn,"$1,780,643,626","The Lost World: Jurassic Park,Mr. & Mrs. Smith,Wedding Crashers,The Break-Up,Hacksaw Ridge"
851,Robert Taylor,"$1,780,056,719","Kong: Skull Island,The Meg,The Matrix,Vertical Limit"
852,Natalie Dormer,"$1,779,354,746","The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 2,Captain America: The First Avenger"
853,RZA,"$1,777,615,979","Minions: The Rise of Gru,G.I. Joe: Retaliation,American Gangster,Due Date"
854,Teddy Newton,"$1,776,645,028","The Incredibles,Ratatouille,WALL·E"
855,James Remar,"$1,776,577,857","Ratatouille,Django Unchained,What Lies Beneath,2 Fast 2 Furious,RED"
856,Jean Reno,"$1,774,999,184","The Da Vinci Code,Mission: Impossible,Godzilla,Flushed Away"
857,Haley Joel Osment,"$1,773,263,208","Forrest Gump,The Sixth Sense,A.I. Artificial Intelligence,The Jungle Book 2"
858,Harvey Keitel,"$1,772,135,362","National Treasure: Book of Secrets,National Treasure,Little Fockers,Sister Act,Pulp Fiction,Red Dragon"
859,Randall Park,"$1,771,202,532","Aquaman,Ant-Man and the Wasp"
860,Kristin Scott Thomas,"$1,769,142,878","Mission: Impossible,The Golden Compass,Tomb Raider,Four Weddings and a Funeral,The English Patient,The Horse Whisperer"
861,Paul Eiding,"$1,764,401,135","Incredibles 2,Monsters,WALL·E"
862,Corey Johnson,"$1,764,201,609","The Bourne Ultimatum,The Mummy,The Mummy,The Bourne Legacy,Captain Phillips"
863,Nick Jonas,"$1,762,602,652","Jumanji: Welcome to the Jungle,Jumanji: The Next Level"
864,Ser'Darius Blain,"$1,762,602,652","Jumanji: Welcome to the Jungle,Jumanji: The Next Level"
865,Morgan Turner,"$1,762,602,652","Jumanji: Welcome to the Jungle,Jumanji: The Next Level"
866,Alex Wolff,"$1,762,602,652","Jumanji: Welcome to the Jungle,Jumanji: The Next Level"
867,Marin Hinkle,"$1,762,602,652","Jumanji: Welcome to the Jungle,Jumanji: The Next Level"
868,Thomas Haden Church,"$1,761,704,500","Spider-Man 3,Over the Hedge,John Carter,Daddy's Home"
869,Rita Ora,"$1,756,412,635","Fifty Shades of Grey,Pokémon Detective Pikachu,Fifty Shades Darker,Fifty Shades Freed"
870,Emily Mortimer,"$1,753,864,223","Cars 2,Notting Hill,Mary Poppins Returns,Shutter Island,Hugo"
871,Lynn Cohen,"$1,753,289,703","The Hunger Games: Catching Fire,Sex and the City,Sex and the City 2,Eagle Eye"
872,Diego Luna,"$1,750,252,651","Rogue One: A Star Wars Story,Elysium,The Terminal,DC League of Super-Pets"
873,Colin Salmon,"$1,750,155,376","Die Another Day,The World Is Not Enough,Tomorrow Never Dies,Resident Evil: Retribution,London Has Fallen,Alien vs. Predator"
874,Hayden Christensen,"$1,747,302,643","Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones,Jumper"
875,Sandra Ellis Lafferty,"$1,746,204,456","The Hunger Games: Catching Fire,The Hunger Games,Walk the Line"
876,Jeremy Sisto,"$1,746,096,132","Frozen II,Ferdinand"
877,Ike Barinholtz,"$1,745,812,525","Suicide Squad,The Angry Birds Movie,Neighbors,The Lego Movie 2: The Second Part,Storks"
878,Velibor Topic,"$1,745,801,312","Mission: Impossible - Fallout,Kingsman: The Secret Service,Robin Hood,Kingdom of Heaven"
879,Kaya Scodelario,"$1,743,672,694","Pirates of the Caribbean: Dead Men Tell No Tales,The Maze Runner,Maze Runner: The Scorch Trials,Maze Runner: The Death Cure"
880,Max Charles,"$1,742,611,025","The Amazing Spider-Man,The Amazing Spider-Man 2,Mr. Peabody & Sherman"
881,Jack McBrayer,"$1,740,888,382","Despicable Me,Ralph Breaks the Internet,Wreck-It Ralph,Smurfs: The Lost Village"
882,Mila Kunis,"$1,739,901,983","Ted,Oz the Great and Powerful,Black Swan,Bad Moms,Jupiter Ascending"
883,Lenny Kravitz,"$1,736,720,265","The Hunger Games: Catching Fire,The Hunger Games,The Butler"
884,Paula Malcomson,"$1,736,552,809","The Hunger Games: Mockingjay - Part 1,The Hunger Games,The Green Mile"
885,Catherine Zeta-Jones,"$1,736,140,891","Ocean's Twelve,Chicago,The Mask of Zorro,The Terminal,Entrapment,Traffic,The Haunting"
886,Matthew Broderick,"$1,736,140,435","The Lion King,Godzilla,Bee Movie"
887,Nathan Lane,"$1,732,026,247","The Lion King,Stuart Little,The Birdcage,Mirror Mirror"
888,Ronda Rousey,"$1,730,000,014","Furious 7,The Expendables 3,157,168,190,193"
889,Richard Attenborough,"$1,728,441,320","Jurassic Park,The Lost World: Jurassic Park"
890,Ariana Richards,"$1,728,441,320","Jurassic Park,The Lost World: Jurassic Park"
891,Jeff Daniels,"$1,728,295,468","The Martian,Speed,101 Dalmatians,Dumb and Dumber,Allegiant,101"
892,Geng Le,"$1,726,262,974","The Battle at Lake Changjin,Water Gate Bridge,Chinese Doctors"
893,Dana Ivey,"$1,725,857,916","Home Alone 2: Lost in New York,Ocean's Eight,Rush Hour 3,The Help,The Addams Family,Two Weeks Notice,The Addams Family"
894,Diane Keaton,"$1,725,730,699","Finding Dory,Something's Gotta Give,The Godfather,The First Wives Club"
895,Liev Schreiber,"$1,722,834,897","Spider-Man: Into the Spider-Verse,X-Men Origins: Wolverine,Ransom,Salt,The Sum of All Fears,The Butler"
896,Jack Nicholson,"$1,721,542,443","Batman,As Good as It Gets,The Departed,Something's Gotta Give,A Few Good Men,Anger Management"
897,Shawn Roberts,"$1,720,219,883","xXx: Return of Xander Cage,Resident Evil: The Final Chapter,Resident Evil: Afterlife,X-Men,Resident Evil: Retribution,Jumper"
898,Stephen Kearin,"$1,713,526,190","Kung Fu Panda,Home,Penguins of Madagascar,Megamind"
899,Carmen Ejogo,"$1,709,791,665","Fantastic Beasts and Where to Find Them,Fantastic Beasts: The Crimes of Grindelwald,Alien: Covenant"
900,Jesse Corti,"$1,706,475,720","Frozen,Beauty and the Beast"
901,Dash Mihok,"$1,703,180,510","I Am Legend,The Day After Tomorrow,The Perfect Storm,Silver Linings Playbook"
902,Catherine O'Hara,"$1,701,376,487","Home Alone,Home Alone 2: Lost in New York,Over the Hedge,Chicken Little,A Series of Unfortunate Events"
903,Damian O'Hare,"$1,699,977,817","Pirates of the Caribbean: On Stranger Tides,Pirates of the Caribbean: The Curse of the Black Pearl"
904,Barry Keoghan,"$1,699,917,369","The Batman,Dunkirk,Eternals"
905,Luke Grimes,"$1,699,334,786","Fifty Shades of Grey,Fifty Shades Darker,Taken 2,Fifty Shades Freed"
906,Anthony Anderson,"$1,696,195,268","Transformers,Ferdinand,The Departed,Scary Movie 3,Scary Movie 4"
907,Guillaume Aretos,"$1,692,810,129","Shrek 2,Shrek,Mr. Peabody & Sherman"
908,Elle Fanning,"$1,690,795,404","Maleficent,Maleficent: Mistress of Evil,Super 8,Deja Vu"
909,Zac Efron,"$1,689,974,660","The Greatest Showman,The Lorax,Neighbors,High School Musical 3: Senior Year,Hairspray,Baywatch"
910,Steve Zahn,"$1,688,317,133","War for the Planet of the Apes,The Good Dinosaur,Chicken Little,Stuart Little,You've Got Mail"
911,Christopher Lloyd,"$1,686,005,940","Back to the Future,Back to the Future Part II,Who Framed Roger Rabbit,Back to the Future Part III,The Addams Family,The Addams Family"
912,Paula Patton,"$1,685,914,054","Mission: Impossible - Ghost Protocol,Warcraft,Hitch,Deja Vu"
913,Jesse McCartney,"$1,684,559,421","Alvin and the Chipmunks: The Squeakquel,Alvin and the Chipmunks,Alvin and the Chipmunks: Chipwrecked,Horton Hears a Who!,Alvin and the Chipmunks: The Road Chip"
914,Mageina Tovah,"$1,683,959,826","Spider-Man 3,Spider-Man 2"
915,Jaime Camil,"$1,683,276,519","The Secret Life of Pets,Coco"
916,Karin Konoval,"$1,683,165,202","Dawn of the Planet of the Apes,War for the Planet of the Apes,Rise of the Planet of the Apes"
917,Marcia Gay Harden,"$1,682,648,760","Fifty Shades of Grey,Fifty Shades Darker,Fifty Shades Freed,The First Wives Club,Flubber"
918,Naomi Scott,"$1,681,314,771","Aladdin,The Martian"
919,Pernilla August,"$1,680,862,677","Star Wars: Episode I - The Phantom Menace,Star Wars: Episode II - Attack of the Clones"
920,Andy Secombe,"$1,680,862,677","Star Wars: Episode I - The Phantom Menace,Star Wars: Episode II - Attack of the Clones"
921,M.C. Gainey,"$1,680,782,740","Tangled,Terminator 3: Rise of the Machines,Wild Hogs,Con Air,The Haunting"
922,David Andrews,"$1,680,757,196","World War Z,Terminator 3: Rise of the Machines,Apollo 13,Hannibal,187"
923,Ed Skrein,"$1,679,547,423","Deadpool,Maleficent: Mistress of Evil,Alita: Battle Angel"
924,Keith David,"$1,677,927,850","Armageddon,Mr. & Mrs. Smith,There's Something About Mary,The Princess and the Frog"
925,Bill Camp,"$1,677,663,846","Joker,Jason Bourne,12 Years a Slave"
926,Richard Roxburgh,"$1,677,247,266","Mission: Impossible II,Van Helsing,Elvis,Moulin Rouge!,Hacksaw Ridge,The League of Extraordinary Gentlemen"
927,Brian Howe,"$1,673,863,320","Catch Me If You Can,The Pursuit of Happyness,Annabelle: Creation,Gran Torino,Annabelle,Deja Vu"
928,Reynaldo Gallegos,"$1,672,701,461","Logan,American Sniper,Bad Boys II,American Wedding"
929,Jennifer Lopez,"$1,672,041,364","Ice Age: Continental Drift,Ice Age: Collision Course,Home"
930,Nick Robinson,"$1,671,537,444",Jurassic World
931,Lauren Lapkus,"$1,671,537,444",Jurassic World
932,Katie McGrath,"$1,671,537,444",Jurassic World
933,Eric Edelstein,"$1,671,537,444",Jurassic World
934,Courtney J. Clark,"$1,671,537,444",Jurassic World
935,Colby Boothman,"$1,671,537,444",Jurassic World
936,Jimmy Fallon,"$1,671,537,444",Jurassic World
937,Matt Burke,"$1,671,537,444",Jurassic World
938,Robert Emms,"$1,671,069,697","Jurassic World: Fallen Kingdom,Mirror Mirror,War Horse"
939,Sasha Barrese,"$1,667,441,389","The Hangover Part II,The Hangover,The Hangover Part III,The Ring"
940,Elizabeth Perkins,"$1,667,038,490","Finding Nemo,The Flintstones,Cats & Dogs,Hop"
941,Emjay Anthony,"$1,666,597,185","The Jungle Book,The Divergent Series: Insurgent,It's Complicated,Bad Moms"
942,John Oliver,"$1,663,250,487",The Lion King
943,JD McCrary,"$1,663,250,487",The Lion King
944,Penny Johnson,"$1,663,250,487",The Lion King
945,Chance the Rapper,"$1,663,250,487",The Lion King
946,Josh McCrary,"$1,663,250,487",The Lion King
947,J. Lee,"$1,663,250,487",The Lion King
948,Raymond Lee,"$1,663,136,190","Top Gun: Maverick,The Lost City"
949,Donna Murphy,"$1,657,584,019","Spider-Man 2,Tangled,The Bourne Legacy"
950,Andrew Airlie,"$1,656,718,265","Fifty Shades of Grey,Fifty Shades Darker,Fifty Shades Freed,Fantastic Four"
951,Jeff Bridges,"$1,649,039,688","Iron Man,Kingsman: The Golden Circle,TRON: Legacy,True Grit"
952,Nick Frost,"$1,647,831,562","Ice Age: Continental Drift,Snow White and the Huntsman,The Adventures of Tintin"
953,John Shrapnel,"$1,647,369,642","Troy,Gladiator,Notting Hill,101 Dalmatians,101"
954,Kenneth Choi,"$1,642,737,392","Spider-Man: Homecoming,The Wolf of Wall Street,Captain America: The First Avenger"
955,America Ferrera,"$1,640,997,393","How to Train Your Dragon 2,How to Train Your Dragon: The Hidden World,How to Train Your Dragon"
956,Kieron Elliott,"$1,640,997,393","How to Train Your Dragon 2,How to Train Your Dragon: The Hidden World,How to Train Your Dragon"
957,Bob Odenkirk,"$1,640,109,734","Incredibles 2,Little Women,The Post"
958,Donald Fullilove,"$1,639,747,754","Up,WALL·E,Back to the Future"
959,Michael Berry Jr.,"$1,639,507,817","Pirates of the Caribbean: The Curse of the Black Pearl,The Hangover Part II,Mission: Impossible III"
960,Jason Fricchione,"$1,638,979,969","Ice Age: Dawn of the Dinosaurs,Rio,Epic"
961,Dan Stevens,"$1,636,780,855","Beauty and the Beast,Night at the Museum: Secret of the Tomb"
962,Carrie-Anne Moss,"$1,636,414,990","The Matrix Reloaded,The Matrix,The Matrix Revolutions"
963,Jennifer Coolidge,"$1,635,637,220","Robots,Click,American Pie,American Reunion,American Wedding,The Emoji Movie,A Series of Unfortunate Events"
964,David Cowgill,"$1,635,278,031","Tangled,Madagascar,Cloudy with a Chance of Meatballs 2,Lightyear"
965,Xu Zheng,"$1,632,860,219","Dying to Survive,Crazy Alien,Lost in Hong Kong,Nice View,Lost in Thailand,Breakup Buddies"
966,Isaac C. Singleton Jr.,"$1,632,846,629","Deadpool,Pirates of the Caribbean: The Curse of the Black Pearl,Anger Management"
967,Denzel Washington,"$1,629,070,167","American Gangster,Safe House,Philadelphia,The Pelican Brief,The Equalizer,The Equalizer 2,Inside Man,Deja Vu"
968,Noah Taylor,"$1,628,470,661","Charlie and the Chocolate Factory,Edge of Tomorrow,Skyscraper,Lara Croft: Tomb Raider,Vanilla Sky"
969,Dave Franco,"$1,627,138,179","The Lego Movie,Now You See Me,Now You See Me 2,Neighbors,21 Jump Street"
970,Vivica A. Fox,"$1,626,224,621","Independence Day,Independence Day: Resurgence,Batman & Robin,Kill Bill: Vol. 1"
971,Patrick St. Esprit,"$1,625,687,053","The Fate of the Furious,Independence Day: Resurgence"
972,Diane Kruger,"$1,625,622,166","Troy,National Treasure: Book of Secrets,National Treasure,Inglourious Basterds"
973,Pom Klementieff,"$1,623,982,320","Guardians of the Galaxy Vol. 2,Thor: Love and Thunder"
974,Philip Baker Hall,"$1,619,543,975","Bruce Almighty,Rush Hour 3,Enemy of the State,Rush Hour,The Sum of All Fears,Mr. Popper's Penguins"
975,Bokeem Woodbine,"$1,618,031,168","Spider-Man: Homecoming,The Rock,Ghostbusters: Afterlife,Total Recall"
976,Sally Hawkins,"$1,617,281,994","Godzilla,Godzilla: King of the Monsters,Paddington,Paddington 2,The Shape of Water"
977,Nick Swardson,"$1,616,917,570","Bolt,Grown Ups 2,Click,Just Go with It,Bedtime Stories,You Don't Mess with the Zohan,I Now Pronounce You Chuck & Larry"
978,Sam Elliott,"$1,614,699,215","A Star Is Born,The Golden Compass,The Good Dinosaur,Hulk,Ghost Rider"
979,Luke Hemsworth,"$1,614,210,148","Thor: Ragnarok,Thor: Love and Thunder"
980,Daniel Cudmore,"$1,614,192,540","X-Men: Days of Future Past,X-Men: The Last Stand,X2: X-Men United"
981,Selena Gomez,"$1,613,556,714","Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 2,Hotel Transylvania,Dolittle"
982,Ned Beatty,"$1,613,173,863","Toy Story 3,Superman,Rango"
983,Scott Caan,"$1,612,826,142","Ocean's Eleven,Ocean's Twelve,Ocean's Thirteen,Enemy of the State,Gone in 60 Seconds"
984,Helen Hunt,"$1,612,502,475","Twister,Cast Away,What Women Want,As Good as It Gets"
985,Donnie Yen,"$1,610,642,812","Rogue One: A Star Wars Story,xXx: Return of Xander Cage,Crouching Tiger,Raging Fire"
986,Eddie Jemison,"$1,609,366,928","Bruce Almighty,Ocean's Eleven,Ocean's Twelve,Ocean's Thirteen"
987,Jürgen Prochnow,"$1,607,104,815","The Da Vinci Code,Air Force One,Beverly Hills Cop II,The English Patient"
988,Aasif Mandvi,"$1,605,444,898","Spider-Man 2,The Last Airbender,The Proposal,The Dictator"
989,Winston Duke,"$1,602,826,995","Black Panther,Us"
990,Julia Stiles,"$1,600,866,895","The Bourne Ultimatum,Jason Bourne,The Bourne Supremacy,Silver Linings Playbook,The Bourne Identity"
991,James Spader,"$1,599,376,802","Avengers: Age of Ultron,Stargate"
992,Fran Drescher,"$1,599,259,267","Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 2,Hotel Transylvania,Saturday Night Fever"
993,Robert Patrick,"$1,598,059,730","Terminator 2: Judgment Day,Charlie's Angels: Full Throttle,Die Hard 2,Safe House,Walk the Line,Wayne's World"
994,Rashida Jones,"$1,596,627,213","Inside Out,The Grinch,The Social Network"
995,Garcelle Beauvais,"$1,596,390,643","Spider-Man: Homecoming,Coming to America,Wild Wild West,White House Down"
996,Josh Cooley,"$1,593,947,121","Inside Out,Up"
997,Elden Henson,"$1,589,342,522","The Hunger Games: Mockingjay - Part 1,The Hunger Games: Mockingjay - Part 2,Deja Vu"
998,Jeff Garlin,"$1,588,282,701","Toy Story 3,WALL·E"
999,Will Poulter,"$1,585,131,916","The Revenant,The Chronicles of Narnia: The Voyage of the Dawn Treader,The Maze Runner,Maze Runner: The Death Cure"
1000,Hugh Laurie,"$1,578,706,262","Monsters vs. Aliens,101 Dalmatians,Stuart Little,Tomorrowland,Hop,The Man in the Iron Mask,101"
1001,Ken Daurio,"$1,577,958,116","Despicable Me 3,Despicable Me"
1002,William Hootkins,"$1,576,893,219","Star Wars: Episode IV - A New Hope,Batman,Indiana Jones and the Raiders of the Lost Ark"
1003,Amanda Plummer,"$1,576,472,471","The Hunger Games: Catching Fire,Hercules,Hercules,Pulp Fiction"
1004,Lesley Manville,"$1,575,428,514","Maleficent,Maleficent: Mistress of Evil,A Christmas Carol"
1005,Mary Kay Place,"$1,573,982,908","Shrek Forever After,Youth,It's Complicated,The Intern,Sweet Home Alabama"
1006,Mark Hadlow,"$1,573,937,029","The Hobbit: An Unexpected Journey,King Kong"
1007,Cleo King,"$1,573,382,151","Transformers: Age of Extinction,The Hangover"
1008,Chris Cooper,"$1,573,040,600","Cars 3,American Beauty,Little Women,The Patriot,The Bourne Identity,The Horse Whisperer"
1009,Gina Carano,"$1,571,517,759","Fast & Furious 6,Deadpool"
1010,Leslie Uggams,"$1,568,733,400","Deadpool 2,Deadpool"
1011,Brianna Hildebrand,"$1,568,733,400","Deadpool 2,Deadpool"
1012,Stefan Kapičić,"$1,568,733,400","Deadpool 2,Deadpool"
1013,Randal Reeder,"$1,568,733,400","Deadpool 2,Deadpool"
1014,Hailee Steinfeld,"$1,568,351,827","Bumblebee,Spider-Man: Into the Spider-Verse,Pitch Perfect 2,True Grit,Pitch Perfect 3"
1015,Jordan Peele,"$1,567,555,456","Toy Story 4,Little Fockers,Storks"
1016,Giancarlo Esposito,"$1,567,026,320","The Jungle Book,Maze Runner: The Scorch Trials,Maze Runner: The Death Cure"
1017,Daniel Bernhardt,"$1,566,350,828","The Matrix Reloaded,Logan,Birds of Prey"
1018,Regis Philbin,"$1,565,968,247","Shrek the Third,Shrek Forever After"
1019,Andrew Scott,"$1,565,432,412","Spectre,1917,Alice Through the Looking Glass"
1020,Harvey Fierstein,"$1,563,007,340","Independence Day,Mrs. Doubtfire,Mulan"
1021,Michael B. Jordan,"$1,561,813,862","Black Panther,Creed II"
1022,Oho Ou,"$1,561,113,253","The Battle at Lake Changjin,The Eight Hundred,Chinese Doctors"
1023,Jonathan Banks,"$1,559,449,722","Incredibles 2,Beverly Hills Cop"
1024,Leo Bill,"$1,558,792,248","Alice in Wonderland,Alice Through the Looking Glass,Cruella"
1025,Giancarlo Giannini,"$1,557,775,662","Casino Royale,Quantum of Solace,Hannibal"
1026,P.J. Byrne,"$1,556,302,041","Rampage,The Wolf of Wall Street,Green Book,Horrible Bosses,Fun with Dick and Jane"
1027,Teresa Ganzel,"$1,556,112,021","Despicable Me 3,WALL·E"
1028,David Ogden Stiers,"$1,555,584,120","Beauty and the Beast,Pocahontas,The Hunchback of Notre Dame,Lilo & Stitch,Atlantis: The Lost Empire"
1029,Billy Bob Thornton,"$1,554,078,707","Puss in Boots,Armageddon,Indecent Proposal,Eagle Eye"
1030,Brenton Thwaites,"$1,553,293,221","Pirates of the Caribbean: Dead Men Tell No Tales,Maleficent"
1031,C. Thomas Howell,"$1,550,841,217","E.T. the Extra-Terrestrial,The Amazing Spider-Man"
1032,Kit Harington,"$1,548,182,821","How to Train Your Dragon 2,How to Train Your Dragon: The Hidden World,Eternals"
1033,Kelly Cooney,"$1,547,989,831","Shrek 2,Penguins of Madagascar,The Bad Guys"
1034,Rob Delaney,"$1,544,953,544","Deadpool 2,Fast & Furious Presents: Hobbs & Shaw"
1035,Mark Williams,"$1,544,490,143","Harry Potter and the Half-Blood Prince,101 Dalmatians,Shakespeare in Love,101"
1036,Gary Sinise,"$1,543,768,768","Forrest Gump,Apollo 13,Ransom,Open Season"
1037,Cherry Jones,"$1,542,865,480","Signs,Ocean's Twelve,The Perfect Storm,Erin Brockovich,The Horse Whisperer"
1038,Evan Peters,"$1,542,422,779","X-Men: Days of Future Past,X-Men: Apocalypse,X-Men: Dark Phoenix"
1039,MyAnna Buring,"$1,541,953,510","The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 1"
1040,Julia Jones,"$1,541,953,510","The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Breaking Dawn - Part 1"
1041,Rebecca Buller,"$1,541,683,046","Batman v Superman: Dawn of Justice,Man of Steel"
1042,Stephanie Szostak,"$1,541,517,367","Iron Man 3,The Devil Wears Prada"
1043,Jack Dylan Grazer,"$1,541,045,125","It,It Chapter Two,Shazam!"
1044,Jamie Campbell Bower,"$1,540,773,135","The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: New Moon"
1045,Gabriel Iglesias,"$1,540,329,345","Coco,Ferdinand,Planes,Smurfs: The Lost Village"
1046,Ludi Lin,"$1,535,581,899","Aquaman,Monster Hunt"
1047,Joe Grossi,"$1,534,159,952","No Time to Die,The Da Vinci Code"
1048,Miriam Margolyes,"$1,533,749,361","Happy Feet,Mulan,Babe,End of Days,Cats & Dogs,Flushed Away"
1049,Amanda Lawrence,"$1,530,443,207","Star Wars: Episode VIII - The Last Jedi,Christopher Robin"
1050,Duan Yihong,"$1,529,119,756","The Battle at Lake Changjin,Water Gate Bridge"
1051,Hu Jun,"$1,529,119,756","The Battle at Lake Changjin,Water Gate Bridge"
1052,Elvis Han,"$1,529,119,756","The Battle at Lake Changjin,Water Gate Bridge"
1053,Cameron Bright,"$1,528,239,001","The Twilight Saga: Breaking Dawn - Part 2,The Twilight Saga: Eclipse"
1054,Andrew Howard,"$1,528,077,189","Transformers: Revenge of the Fallen,Tenet,Taken 3"
1055,Jimmy Vee,"$1,528,019,230","Star Wars: Episode VIII - The Last Jedi,Rocketman"
1056,Richard Madden,"$1,524,673,725","Cinderella,Eternals,1917,Rocketman"
1057,Judd Hirsch,"$1,523,874,083","Independence Day,Independence Day: Resurgence,A Beautiful Mind"
1058,Jay Laga'aia,"$1,522,170,530","Star Wars: Episode III - Revenge of the Sith,Star Wars: Episode II - Attack of the Clones"
1059,Eric Stonestreet,"$1,521,707,416","The Secret Life of Pets,The Secret Life of Pets 2,Bad Teacher"
1060,Jon Gries,"$1,518,859,895","Men in Black,Taken 2,Taken 3,Taken"
1061,Alexis Denisof,"$1,518,815,515",The Avengers
1062,Tina Benko,"$1,518,815,515",The Avengers
1063,Jerzy Skolimowski,"$1,518,815,515",The Avengers
1064,Kirill Nikiforov,"$1,518,815,515",The Avengers
1065,Jeff Wolfe,"$1,518,815,515",The Avengers
1066,M'laah Kaur Singh,"$1,518,815,515",The Avengers
1067,Rashmi Rustagi,"$1,518,815,515",The Avengers
1068,Kevin Michael Richardson,"$1,518,669,203","Minions: The Rise of Gru,The SpongeBob Movie: Sponge Out of Water,Lilo & Stitch"
1069,Alain Chabat,"$1,516,324,292","Ice Age: Continental Drift,Night at the Museum: Battle of the Smithsonian,Valerian and the City of a Thousand Planets"
1070,Ingvar Sigurdsson,"$1,516,210,472","Justice League,Fantastic Beasts: The Crimes of Grindelwald,Everest"
1071,Frances Conroy,"$1,516,092,837","Joker,Sleepless in Seattle,The Aviator"
1072,Elsie Fisher,"$1,513,923,990","Despicable Me 2,Despicable Me"
1073,Keke Palmer,"$1,512,425,177","Ice Age: Continental Drift,Ice Age: Collision Course,Lightyear"
1074,Carl Chase,"$1,511,437,594","The Mummy,Batman,The Mummy,Lara Croft: Tomb Raider"
1075,Julian Glover,"$1,509,956,725","Star Wars: Episode V - The Empire Strikes Back,Troy,Indiana Jones and the Last Crusade"
1076,Karen Allen,"$1,509,298,347","Indiana Jones and the Kingdom of the Crystal Skull,Indiana Jones and the Raiders of the Lost Ark,The Perfect Storm"
1077,Oded Fehr,"$1,508,605,172","The Mummy Returns,The Mummy,The Mummy,Resident Evil: Retribution"
1078,Geraldine Chaplin,"$1,508,553,508","Jurassic World: Fallen Kingdom,The Impossible"
1079,Andy Beckwith,"$1,508,479,056","Pirates of the Caribbean: Dead Man's Chest,Les Misérables"
1080,Charlie Adler,"$1,507,999,678","Big Hero 6,Aladdin,Pocahontas"
1081,Jack Quaid,"$1,507,155,510","The Hunger Games: Catching Fire,Rampage,Smallfoot"
1082,Marc Maron,"$1,506,488,895","Joker,The Bad Guys,DC League of Super-Pets"
1083,Alan Dale,"$1,505,075,445","Indiana Jones and the Kingdom of the Crystal Skull,Captain America: The Winter Soldier"
1084,Richard McCabe,"$1,502,800,639","Cinderella,1917,Notting Hill,Master and Commander: The Far Side of the World"
1085,Peter Capaldi,"$1,499,785,398","World War Z,Paddington,Bean,Paddington 2,Christopher Robin"
1086,Rosie Huntington-Whiteley,"$1,499,503,549","Transformers: Dark of the Moon,Mad Max: Fury Road"
1087,Rachel House,"$1,497,338,961","Thor: Ragnarok,Moana"
1088,Ioan Gruffudd,"$1,496,637,860","San Andreas,Fantastic Four,Fantastic Four: Rise of the Silver Surfer,King Arthur,102 Dalmatians,102"
1089,Dania Ramirez,"$1,495,484,582","Jumanji: The Next Level,X-Men: The Last Stand,American Reunion"
1090,Harry Shearer,"$1,493,979,625","The Simpsons Movie,Godzilla,Chicken Little,The Truman Show"
1091,Jet Li,"$1,492,998,359","The Mummy: Tomb of the Dragon Emperor,The Expendables 2,Lethal Weapon 4,The Expendables,The Expendables 3"
1092,Peter Jason,"$1,488,594,056","Jurassic World: Fallen Kingdom,Dante's Peak"
